,Content
113,a body is a temple
114,Nah a body is a prison
115,You have to make it a temple
116,All these millions and trillions and billions of cells in your body
117,that's a lot to keep track of
118,And once they start getting infected
119,then you got like this
120,this battle going on with inside of you
121,You know what I'm saying if your body was really perf perfected
122,you wo you shouldn't be getting sick
123,period
124,You know what I'm saying but
125,because you get sick
126,and because
127,your mind does things to you as a program to keep you
128,like you always playing chess
129,Mm
130,So
131,if you ain't the true you ain't really the one that's in control
132,that mind'll keep checking you checking you all the time like
133,Aw man
134,damn
135,You know what I am saying because it's not really in cl it's not really in sync
136,Yeah
137,<>
138,with shit It's part of the system too
139,Oh my gosh whispered
140,I don't know I know I'm just
141,going on and on but like
142,this all started from you just asking me about my name
143,You know what I'm saying?
144,Name and age bruh I'm amazed
145,You kn
146,word
147,Nah that's that's cool though That's cool I'm th I think we're definitely gonna we are already on five minutes we are through that
148,<> Ay um
149,Word
150,??
151,so how do you feel about turning forty?
152,I mean
153,I don't really look at time as age I feel like I was born in the same moment that I'm in right now
154,I mean unless we freeze time
155,Ooh
156,<>
157,unless we freeze time
158,inaudible
159,you cannot say the day changed
160,The day is continuous There is no breaks in day Our mind tricks us
161,to think that we going to sleep and we waking up No you sleep in two cycles
162,This is the part of the dream you can control
163,And the one where you
164,socalled fall asleep that's when you actually awake
165,You can't control your body cause your body is made f
166, as a suit to play around in this system
167,When the true you come out
168,it's like that first person on Call of Duty or something
169,You don't see your arms and your legs and all of that Like I think we was touching on this before you don't see all of that You only see
170,a point of awareness
171,And when you socalled wake up
172,you literally sleeve your body on and zip up a zipper and come out here and start playing
173,That shit cool as fuck
174,<>
175,Yeah man
176,For real
177,On some realness
178,You know what I'm saying? And they keep and the body is so sensitive to this system
179,Oh ?
180,That's why it's got nerves and pain and this and this
181,It's just like keeping a ship
182,with all the pressure right
183,Oh my god whispered
184,and
185,keeping the
186,compression chambers so ain't no air seeping and all of that
187,That's exactly what it is man
188,It's a spaceship
189,<>
190,Oh man whispered
191,it's a spaceship
192,And you gotta constantly g but it's it's
193,so d it's
194,it's not just a spaceship It's
195,everything concentrated into this
196,Mm
197,Like you got
198,stars
199,planets
200,empty space dark space all of this is
201,k smashed into your body and it's just exploded Like
202,this is just the bowels of another big body
203,and we the bacteria in that body
204,Kind of like how we talking about the cells It's somebody talking about us like that
205,Mm
206,Being the cells
207,A upside down pyramid magnifying glass just like we look at ants and shit
208,<>
209,In their world
210,it's a lot of them
211,Excuse my French it's a lot of them
212,But
213,in their world
214,this looks
215,like just this yard looks like a whole planet to them
216,You know what I'm saying but to us
217,we just looking at 'em like
218,Oh my gosh that probably look like the
219,coolest shit oh Being deprived of that
220,we
221,like we in
222,<>
223,for so many years and then being able to see that shit
224,And then it's just like us
225,We in a aquarium
226,Somebody's looking at us in a round fish tank
227,or I believe a square one
228,a flat square one with two holes in it
229,Like two records on top of each other
230,Hold on time out
231,That's that flat earth
232,So do you feel like the equivalant of us
233,like
234,jumping out of a fish tank we would just be flapping on the ground of the floor o of the fish tank or some shit
235,<>
236,No when you get out the fish tank you truly free
237,You trying to get out of the fish tank All of this is
238,I mean I'm I mean I'm I'm saying the
239,the goldfish or whatever is
240,is truly free when they're out of
241,The fish tank
242,the fish tank But
243,if they're in the real world and they're just a
244,or if they're in the you know world for that example
245,and they just flopping around
246,Mmhm
247,what they
248,what is the
249,just gonna die?
250,Or they just gonna nothing's gonna happen?
251,Well not in the literal sense w w when you looking at it like
252,like this If you was
253,in a fish tank inside of the ocean
254,and somebody dropped you to the ocean floor and you see all these other fi fish just passing you up
255,Mm
256,and you in this tank
257,You can't get
258,Mmhm
259,but so far and you notice and everybody's going a lot further than you are
260,Oh yeah
261,Once you get out you truly free
262,Oh okay
263,You see what I'm saying?
264,Hoo okay
265,But
266,the analogy wasn't a great analogy cause it's a somebody will say a cynic will say well
267,that don't make no sense if you in the ocean and of course you gonna want the freedom cause you see the other fish moving around
268,Ah okay
269,But
270,the jump
271,outside of the fish tank what I'm saying like we saying this system is broken Basically this system is okay
272,but the system's been hacked
273,by a virus
274,Mm
275,A virus is in here changing the software
276,doing stuff that it ain't supposed to be doing to us
277,So
278,when you have these heavy influences destructive influences on you
279,like with your mind
280,and your thoughts and your emotions
281,it's because something is playing that up that way
282,That ain't truly you The true you is a baby
283,that knows how to enjoy themselves in the moment
284,Don't need no friends don't need no toys
285,just could
286,m m
287,play and just be happy
288,Get along with everything love all animals You might have a little fear or something Some things might scare you because
289,you got this internal defense
290,when something's aggressive like a dog or something It might scare
291,you know but it's still
292,being taught by grownups to put that fear in you
293,Cause it's some kids that
294,So really you feel like
295,it's the inner thing
296,You're already complete
297,that
298,that change you
299,or makes you
300,Yeah
301,more or whatever than the outer
302,It's the
303,I guess things
304,I mean
305,But the outer circumstance do
306,play a big part in it
307,you know
308,of course
309,But truly you know if it was
310,you know just focused on that it would be no problem
311,The biggest punishment I've learned
312,is
313,losing control of your emotions
314,Okay
315,It's not just
316,losing control of your emotions You're putting destructive out in the world
317,It's like
318,a s whole slew of stuff happens
319,Oh yeah?
320,When you speak
321,in a bad way you cursing somebody Those are true curses
322,Mmhm
323,Like spells are made out of just words like you could put you see a
324,a magician put a spell on somebody and they'll just use words They don't need to use a wand
325,or no canteen no potion They could just say something to 'em somebody and they'd be in a trance
326,Yeah
327,So words are powerful
328,That's one thing
329,Then if you say
330,real hateful stuff it turn some of it it turn concern into these mortal
331,soulless thoughts
332,Okay
333,that are basically air parasites and they turn into insects and all this other stuff that we see So like
334,you see a insect you ain't never seen before and it's got this long stinger on and all this other
335,those are manifestations of our thoughts that are rogue
336,Some of them take shape and wanna whisper in your ear destructive stuff to you all the time
337,Damn
338,You know and then
339,like say
340,something is innocent you might think is being indecisive
341,Like saying baby where you wanna go eat? Let's go eat at Burger King Nah let's go eat at Red Lobster Nah let's go to Burger King Nah let's get
342,When you do that
343,you destroy
344,your the gallbladder
345,I remember you saying that and um
346,<clears throat>
347,try not to be indecisive
348,Indecisive Frustration attacks your pancreas
349,<>
350,Frustration attacks your pancreas
351,Mmhm
352,Anger attacks your liver
353,Mmhm
354,Worry attacks your stomach
355,Okay
356,Sadness attacks your lungs
357,Mmhm
358,Anxiety attacks your heart
359,Mm
360,Depression
361,attacks your spine
362,And everything from
363,um um um like um a lot of people everybody say there's no cure for fibromyalgia whatever whatever
364,Fibromyalgia is caused by depression
365,Mm
366,Depression puts such a overload on your circuits
367,in your body that they basically look like
368,a bunch of overloaded circuits
369,And then you start feeling pain everywhere
370,It gets rogue because you done depressed yourself so much
371,that your s your body can't take it
372,Like you press me down
373,And now I'm shortcircuiting
374,It's like putting a robot in inside of a vice and turning it
375,Mm
376,Oh yeah
377,You gonna start seeing sparks and them exploding and shit a after a while
378,because it's too much pressure
379,And then he's putting that on hisself
380,an internal vice
381,We I'm trying to give you a visualization of a vice squeezing somebody in a factory
382,Oh my gosh
383,But imagine a internal one that's around your brain
384,And your brain is attached to your spine ing
385,Ah hurry hurry you're the worst
386,And your brain tells your body what to do and your spine controls everything else Once that stuff starts to
387,dry up and get crippled and stiff and all that and you get pain and all
388,your whole body goes to crap
389,And ain't no doctor gonna tell you depression causes fibromyalgia but I'm telling you it does
390,Mm
391,And depression is caused by inflammation
392,Your body has got inflammation somewhere
393,and it's keeping the circulation from getting to your brain so your brain is making destructive chemicals instead of good ones
394,Know what that's kind of reminding me of?
395,I seen a movie
396,What?
397,um
398,the other day
399,Dang I can't even remember the name of it
400,but it was in theaters right n
401,right now
402,And they're they're on the plane I mean they're on the s sh ship
403,Mmhm
404,and it's
405,two of them woke up before the time
406,they was supposed to get to the
407,planet and it's like
408,six thousand years in the future
409,What? What is this called?
410,This is a movie about to come out?
411,On silver screen?
412,Yeah it's already out right now
413,It's already out?
414,Ah I want to say something like the blavity or something but it might not be that It might be something else
415,the ship
416,Okay
417,I'm'a I'm'a actually look it up right now but
418,um
419,it's pretty cool like I like the graphics or whatever But um
420,yeah they
421,they on a
422,they I guess they found another earth
423,with the same type of atmosphere
424,as ours
425,Right
426,right
427,so they was gonna go there you know colonize it do what they do whatever
428,But they had like I guess six thousand of some of the brightest people on earth
429,And they was gonna send them off
430,you know to do
431,you know whatever It's gonna take six thousand years for the next
432,set of people to come up there
433,You know that cryogenics they just perfected it
434,Mm
435,They said they can send human bodies into space as of today
436,And put them in a cryosleep state a like frozen
437,Oh my gosh for just somebody gonna pick that shit up ??
438,A a and it's
439,And they and they could go like a thousand years on a ship
440,and wake up and still
441,age just a little bit because they basically frozen
442,at the right temperature that the cells don't crystallize and kill themselves cause that's how you die
443,When you starting to freeze
444,your body's systems will slow way down and some people be frozen all the way
445,solid
446,Mmhm
447,and then thaw out and be f perfectly fine
448,So there's stories like that I've seen a lady trapped up under the ice that was
449,What do you think your cells is doing when
450,it's completely cold like that?
451,See one of two things can happen
452,It slows the heart rate down so slow
453,that you basically i suspended in time
454,Or
455,the ce s something happens where the cells crystallize
456,and once they start to turn into crystals they bust through the cell walls
457,And you basically bleed to death and ooze out all your cell matter into your body because there's crystallizing you
458,<>
459,in a artificial way
460,So your body's supposed to be crystal
461,Oh
462,Yeah
463,You know your phone and your TV all that's liquid
464,crystal
465,display
466,LCD
467,That's what your body is
468,Oh for real?
469,Liquid
470,crystal
471,What happens to water when you freeze it?
472,That's what that s stood for?
473,Wha um
474,I guess it look
475,you know crystal
476,I guess
477,Yeah what happens to rock candy r when you put sugar and water together and you hang a string from it?
478,It turn into crystals
479,Oh yeah oh yeah true true
480,It crystalizes
481,Mmhm
482,You know what I'm saying your body is the same thing It's made of water and all of that
483,Mmhm
484,And when you freeze it water turns into crystal
485,Oh man whispered
486,But there's a way of
487,tuning up water
488,where you raise the vibrational frequency of water and it turns into quartz
489,instead of rock candy
490,or it turns into rose
491,quartz or
492,calcite or
493,mold you know something
494,that you have to mine out of a cave
495,And be like yo water
496,helped 
497,make this limestone like
498,been dripping for a thousand years and now it made these huge stalactites that's in this cave
499,Water is some amazing shit but it could get polluted
500,Crystals
501,don't really they can't get polluted They absorb
502,energy off of shit
503,And yeah they can overload but all you gotta do is put 'em in the sun or under a full moon and they fully recharge
504,You can't do that with water
505,You could pour I could pour a sludge in that shit right now and fucking put that shit in the sun and the moon and it's still gonna be sludge in that shit in the morning
506,You know what I'm saying
507,It gotta be pure
508,It's gotta be pu it's hard to keep water pure
509,because we in such
510,a fucking riddled virus
511,environment
512,The virus wants to keep shit polluted
513,It wants you to think crazy It wants to put all this
514,on him
515,on s
516,on you so you could keep
517,feeding it because see
518,the thing that is
519,the reason why this virus is here because it needs to feed
520,and the only way you can feed on something
521,is by making it scared
522,Oh okay
523,It's like
524,you can't
525,you can't
526,like if some vampires came in here right now
527,if you just riddled with fear you gonna get bit
528,Okay
529,But if you standing there waiting with a stake and some holy water and a super soaker gun and some garlic and shit
530,Yeah
531,you're ready for whatever
532,What if you just standing there and you not with all that shit?
533,See
534,sometimes you could go to another place like
535,Mmhm
536,you know that's the one dimensional way of defending yourself But then
537,you might
538,turn something on inside of you that cause you
539,different
540,Yeah
541,And be able to fight the vampires head up
542,Oh shit
543,Yeah
544,You know but that it's it's all about keeping
545,this
546,defense up all the time like
547,it ain't true peace here because the system's been hacked
548,Whatever jumped in here
549,thirtyfive hundred BC
550,really messed everything up man
551,That's the real thing of everything
552,Oh the thing with the ship though
553,they built it to be an ish
554,indestructible ship
555,But um
556,I guess somewhere in they calculations
557,they didn't plan for a big ass meteorite to just come slap that shit
558,Oh wow
559,Wow
560,Slap the fuck out that bitch but
561,it destroyed
562,So that shit still rolling around pretty much impenetrable
563,Mm
564,or whatever
565,But
566,shit malfunctioning now
567,Mm
568,Six thousand people still asleep
569,You know
570,ain't nobody gonna survive being on that ship for six thousand years just to make it to that other planet
571,You can't turn back around
572,It's gonna take you like
573,three hundred
574,um years to get back home and shit like that or
575,you was probably like halfway out or some shit
576,Right
577,Over with for your ass
578,Mm
579,So they going around
580,throughout this ship
581,after they realize
582,cause they ain't realize til much later on that the ship was actually fucked up That's the reason they was out in the first place
583,Right
584,And then um
585,they actually had to fix the
586,ship or at least try to
587,Well see the sleep state is not
588,to keep
589,it's just to keep your body in a state of unconsciousness
590,Yeah
591,Well then you ain't on no planet there's no time
592,That's why there's no such thing as time If you was in the spaceship right now how would you keep track of the time?
593,If you away from our sun and you away from our earth how would you be able to keep track of time?
594,Oh yeah yeah It's impossible
595,It's impossible because there's no way
596,You gonna have no where to start either
597,this is a program for you to count how many times the sun and the moon go up to make you age
598,If you could tune that shit out
599,Woah
600,and know you timeless you could lis l your body will last
601,longer than proba just as long as the earth itself cause you made of the earth
602,and you made of space stuff
603,Like it don't make sense that we dying in a hundred years or
604,i li life expectally lesser than that
605,It's because of the emotions
606,The emotions
607,sink so deep into your organs
608,if you don't know how to get 'em out
609,they stay in there
610,And the only thing I've noticed that get 'em out is those frequencies
611,Like you can take anger out
612,immediately You can take
613,somebody having a gallbladder attack and let them listen to a indecisive binaural beat
614,and their gallbladder will miraculously loosen up
615,Like I've experienced all that hernias and
616,just listen to solar plexus healing and
617,you know opening your root up A lot of people's roots are closed
618,All of this is is
619,Okay
620,you know
621,the things that
622,people like exa for example the police brutality
623,Okay
624,or the police shootings
625,Mmhm
626,If a lot more fuc
627,a lot more people was putting
628,crystals and stuff in their car
629,You know they have might have a quartz crystal here
630,and some charcoal pile right on the floor
631,Mmhm
632,smudging their car with white sage and stuff like that
633,Yeah
634,You're gonna have a less lot m
635,runins
636,than just
637,jumping out here scared
638,every time you see a cop
639,That's true
640,I mean it's the f it's the f whole fear factor thing
641,that makes you feel like the prey all the time
642,If you stop feeling like prey
643,then you'll stop being hunted
644,Dang
645,Instantly
646,right there
647,I mean I know some a some hard dudes and
648,soon as the cops come around
649,<>
650,they be like don't look to the side
651,Don't look over your shoulder
652,Your seatbelt on and all this I'm just like
653,dog just
654,be e I mean you're not a criminal
655,You out here you just enjoying your vehicle
656,Yeah but sometimes you don't gotta be <>
657,You know what I'm saying and even like I told you my experience
658,Mmhm
659,Everything will be okay when it's supposed to be okay
660,Just when you know it's gonna be okay it's gonna be alright
661,That's how I be tryna go in this situation
662,Cause most of them motherfuckers I'm around don't excuse me most of the people I'm around don't live they life like that ing
663,Mmhm
664,Nah that's good you
665,be keeping good company
666,Yeah man I've always been around a lot of humble good people like yourself man
667,So where are you from?
668,I'm from RDADDRESS
669,Connecticut
670,RDPLACE Connecticut How long have you been living in Atlanta?
671,Since nineteen eightyeight
672,Oh nineteen eightyeight okay
673,October twentysecond nineteen eightyeight
674,So you really pretty much even though Atlanta
675,I guess been a
676,a s forefront type city but you s definitely seen Atlanta on the rise though
677,Yeah I remember
678,eighties and nineties
679,til
680,boy
681,two thousands
682,Yeah man
683,RDPLACE RDPLACEand RDPLACE I've seen change dramatically
684,Wow whispered
685,I mean
686,before uh
687,when Freaknik and AU and all of that was popping Different World and
688,all of those shows was on
689,uh television
690,like Atlanta was on the uprise then Like
691,I was really enjoying the city at around those times around
692,the first Freakniks and all of that
693,not like I was
694,you know I ain't know what Freaknik was I just happened to go downtown
695,<>
696,Actually I was going to buy some sneakers from Walter's and
697,Ooh
698,I got on the train
699,Legendary
700,And I was at Doraville Station and when we got to Chamblee
701,Mmhm
702,the train kept going
703,inaudible
704,It was a whole bunch of people on the docks and I'm like
705,what's going on? They didn't stop the train un all the way until we got to Lenox
706,Yeah
707,So I get off at Lenox and it's a bunch of people on the train waiting for the train to transfer
708,Okay
709,I go to get to Five Points
710,and when I walked outside
711,it was just
712,oceans of people Like I've never seen that many people in my life And I was like
713,<>
714,what is going
715,on?
716,Yeah
717,And they was like Freaknik
718,Like what
719,inaudible
720,the heck is a Freaknik?
721,Freaknik whispered
722,Man
723,and I mean
724,that was a it was aggravating to me cause you know the the traffic was just stupid
725,The traffic was stupid
726,And the way they treated those students was just ridiculous Like
727,there was venues and things for them to do and the cops just like it's a police state like
728,blocking off exits and forcing people to stay on the highway that
729,that's ridiculousness Let people go where they want to go
730,unintelligible
731,You know what I'm saying If you
732,it's making the city money
733,and
734,they enjoying your city
735,and that's w a a what cities want they want that tourist money
736,Like when them s kids used to come
737,a hundred thousand strong hundred and fifty thousand strong
738,Man I m
739,They talked about the trash and all that but they ain't never talked about how many millions of dollars they made in that m that weekend
740,They don't talk about it Need to bring up the projections
741,It's been it's been petitions to bring Freaknik back but I think it's over with I think
742,Nah that was a cl that's a closed chapter That's a old era
743,from a great
744,decade
745,<>
746,The nineties
747,<> It a n <>
748,It's a old era from a great decade
749,<>
750,I mean it really is
751,They brung back everything else from the nineties
752,Yeah man
753,A it's like
754,right now I'm just still living out a poor rendition of the nineties
755,Ooh
756,Like n
757,dudes is coming back with boxes and high rights and
758,A poor rendition <>
759,and dying their hair tips and all of that ing Like I seen that when I was young You not gonna see no dude out here with no afro
760,no butterfly collar no bellbottoms
761,You really ain't gonna see no dude in no
762,fly away break jacket
763,but you might
764,and some tight Levi's and
765,you not gonna see that
766,You might whispered
767,You might whispered
768,You gonna see a nigga w dressed like a nineties dude or
769,a two thousand seventeen dude with just like
770,I don't know I just can't
771,Okay
772,Nah nah you you you definitely right about that You definitely r about
773,right about that
774,Mm yeah
775,Do you think it's gonna b
776,come a time where they go to the bell bottoms?
777,Or the
778,I hope not
779,you hope not
780,I hope I'm not around for it
781,You hope you not around for that
782,<>
783,That would be worse than what they're wearing now?
784,<> Yes
785,barely
786,<>
787,I seen my pops in some of them and I was dying
788,I was like yo
789,Oh
790,Those joints is skin tight in the f
791,and then flare out like right past your shin Uhuh
792,Did you ever rock the Jheri curl?
793,Never had it No chemical in my hair
794,No chemical whatsoever
795,<>
796,Never
797,<>
798,Lord man I mean if you did bruh I wouldn't even 
799,I've never had a relaxer
800,I've never had a perm
801,I wouldn't blame you though ?? blame
802,I I'm
803,Nah I don't need that I mean
804,as long as your groom your hair
805,Yeah
806,Your hair will t t turn a certain way You can have some of the most brittle hair
807,Okay
808,And if you get a good
809,hard boar brush some water and some grease
810,and train your hair
811,<>
812,then your hair will a like
813,Most of the c cats that came that were in America
814,a lot of people think that Native Americans
815,are red people
816,Them dudes came from the wilderness
817,And they learnt from the natives that were here from the Moorish
818,societies and the different
819,Cause this it was all tropical at one point in time but them dudes use bear grease
820,Okay
821,They would kill a bear
822,and melt the fat of the bear and when you put it in your hair it'd make it bone straight Like it'd give it that
823,socalled Indian hair look
824,And they brush it and they kept maintaining it and then after a while
825,the grades of they hair will change
826,Nah this gotta be on google
827,<>
828,This gotta be on google I'm not even going for that
829,Is you f
830,<>
831,<>
832,I'm not going for that
833,I ain't <>
834,I ain't gotta tell you no lies dog
835,We're fact checking now man
836,<>
837,Indian grease
838,<>
839,M d bear grease
840,Indian bear grease
841,Yeah
842,Google inaudible
843,Native American bear grease
844,Native American
845,bear grease nah definitely
846,What's um some of your favorite music though?
847,Is there any from this generation?
848,Nah I don't really listen to nothing too much I kind of like the Weeknd
849,Okay
850,Um
851,I like that old jealous by uh
852,What's the little white dude's name?
853,That one's alright
854,That's k little old now
855,Um
856,I really don't know the artist's names I don't follow music like
857,I used to so
858,Okay
859,Yeah
860,What's a what's some
861,Most of the music I listen to is like
862,Mmhm
863,eighties
864,Aye Drop that
865,soft rock o
866,<>
867,or
868,<>
869,like seventies disco I like some sixties stuff
870,Okay
871,I don't like
872,gospel at all
873,Okay
874,I don't like
875,band
876,w well not band music What is it funk?
877,I don't like funk at all
878,Okay that's cool
879,Yeah I kind of like jazz
880,Everybody got they preference
881,Okay
882,rock with some jazz here now and then
883,And um
884,yeah
885,I like um
886,merengue music I like salsa music
887,Ah man
888,Um
889,I like
890,a little bit of alternative music I love house music
891,Okay
892,<clears throat>
893,house music
894,??
895,Yeah
896,dance hall reggae
897,Mmhm
898,I mean I'll basically listen to anything if it's got
899,a catchy
900,you know rhythm to it that could make me feel like I could move to it then I probably feel it
901,You know what I'm saying
902,Yeah
903,Aw needed to let you hear some uh
904,new beats man
905,It's got a nice
906,Yeah
907,groove to it I believe
908,Um
909,what's um
910,what about the Migos How do you like their music?
911,The Migos <>
912,<>
913,Everybody's been rocking with the Migos lately man
914,<cough>
915,They don't know ing
916,<>
917,I don't know
918,I know you heard so I know you hear they songs man
919,Not at all bruh
920,Oh whispered
921,<>
922,Your kids not saying the Migos around you?
923,Nah they be into old school like Celia Cruz They like the old throwback stuff
924,Oh man whispered
925,You know cause we only listen to really throwback music around now
926,Those two
927,I'll take that back cause  knows
928,a lot of music I don't know where she pick it up from
929,but she know a lot of songs by heart
930,Oh snap this joink is on w wedia
931,Wikipedia
932,Yeah about the bear grease?
933,Yeah
934,<ts>
935,Man I ain't gonna steer you wrong bruh
936,<>
937,Bear
938,bear's grease was a popular treatment for men with hair loss from at least as early as sixteen fiftythree until about the first war
939,The myth of it's effectiveness
940,is based on belief that as
941,bears
942,are very hairy
943,Mmhm
944,that would
945,assess hair growth
946,in others
947,The English blah blah blah
948,<> Yeah blah blah blah
949,<>
950,mystic inaudible
951,<>
952,I wasn't talking about the English people though I'm talking about brothers
953,Oh they got they got
954,yeah they got the Native American use
955,Yeah
956,Use of bear's grease among their Native Americans on the hair to make it shinier was widespread
957,Other s popular substance included dear marrow
958,and raccoon fat
959,Mmhm
960,In the Northeast tribes of the Sauk
961,Huron and Delaware the daily use
962,of bear grease on their hair
963,was popular among both men and women
964,Mmhm
965,Men in the Dakota Sioux and cow tribes
966,also regularly used bear's grease
967,Benjamin West
968,who was one of the early
969,American fine artists
970,said
971,he was taught how to make
972,paint as a child by a Native American friend
973,who showed him how paint
974,could be made by mixing clay
975,with bear grease
976,Man you know how many numbers I still know by heart?
977,Like I know your number by heart I know
978,<exhale>
979,like five or six of my n homies' numbers by heart all my cousins in Connecticut
980,I I don't let this technology dumb me down man
981,Cause that's all it does Like you gotta
982,step away from things and keep doing stuff
983,Like I be correcting my kids so much just on common sense stuff
984,Common sense huh
985,Like what are you doing?
986,<> Like
987,won't you just do this and it just be the simplest thing?
988,And they just don't get the concept of connecting it no more
989,And I just was like what is going
990,on? It's gotta be this technology
991,<>
992,<clears throat> That's why I don't like being in all
993,in front of no computer screen for too long No video game TV nothing
994,Man I know unintelligible
995,<>
996,Like I just be here trying to keep my brain
997,so my body don't fall apart cause that's all it's doing
998,<>
999,<>
1000,It it's making dudes lazy
1001,I got so much electronic stuff around me right now I can't stop touching it either man
1002,<>
1003,Yeah and that's so not good for you man That shit is got like s these heavy WiFi signals coming out that shit cau you should see
1004,what WiFi does to the body It causes cancer so quick
1005,And all these mutations in your cells and
1006,??
1007,Oh my <sound effect>
1008,and then just being in front of AC stuff It's that's called electromagnetic toxicity because your body
1009,is DC You direct current Your head
1010,is negative
1011,Well actually half of your body's negative other half is positive
1012,Yeah
1013,But
1014,you could also
1015,perceive it as the hands
1016,and the feet being negative Those are your outlets And the head being positive
1017,So when you
1018,that's like a battery you put in your remote
1019,AC is all your electronic devices which is
1020,plus minus plus minus plus minus plus minus real fast
1021,Mmhm
1022,It's a alternating current You a direct current
1023,Yeah
1024,When that alternating current hits this direct current body
1025,Mm yeah
1026,you got one that's flowing straight
1027,Okay
1028,and another one that's jagged
1029,Okay
1030,When you intersect the two the one that's straight
1031,it's impossible for it to stay straight because it's got all this
1032,so what
1033,your heart let's say is
1034,V one o three when that h shit hits it
1035,<exhale> it's one o three point one
1036,You can't barely hear the radio station just by them two little
1037,that one little turn
1038,Oh
1039,your heart is not beating right no more
1040,Oh man whispered
1041,Your brain frequency supposed to be at
1042,ninetyseven point five
1043,And then that damn AC hit that shit and that shit turns it down to
1044,ninetyseven point three You can't hear nothing but static
1045,And then the more shit you turn on it kno keeps knocking the points down
1046,You know what I'm saying like
1047,that shit is no joke man
1048,And that shit is hard to detox that cause your body don't understand artificial toxins
1049,Like it's hard to get rid of chemical toxins
1050,Uh the best way to get rid of 'em
1051,is to run them out
1052,That's why people sit in saunas
1053,and go
1054,exercise and get a good sweat
1055,That's the best way to get out chemical poison
1056,Oh man whispered
1057,But electrom
1058,electromagnetic poisoning and emotional poisoning
1059,and that shit is some hard shit to get rid of boy
1060,Hold on so if
1061,let's say
1062,hypothetically
1063,or whatever
1064,if I start working out
1065,Mmhm
1066,like really physically going for it in a good healthy type of way
1067,That's a investment
1068,will
1069,will that have my
1070,my inner cells
1071,in my body living a better life amongst themselves or something?
1072,Of course
1073,because
1074,Oh man whispered
1075,when you
1076,exercise you release
1077,chemicals
1078,Okay
1079,Your brain starts to spit
1080,out chemicals It's just like when you don't exercise
1081,Your body's
1082,your mind is basically saying
1083,or your brain is basically saying
1084,this body don't really wanna shit
1085,so let me start killing it off some
1086,Cause you feel like you just
1087,ain't no motion to it
1088,Oh
1089,Oh man
1090,So it let's cortisol and
1091,all of these
1092,these m these heavy hormones that make your
1093,body go out of wack
1094,You start retaining fat and all this other stuff
1095,inaudible
1096,But if you in motion
1097,Mm
1098,yeah but if you in mo but it's about that sweating
1099,Sweating can't fake the funk with that
1100,It's not about
1101,you can't yeah and ain't no beating that out
1102,It take a lot more for some people to sweat than others
1103,Yeah that's cause a lot of people got diabetes and they don't know it
1104,Oh my god whispered
1105,Like it's so many people out here with pr pre diabetic or
1106,diabetic and don't even know they got that shit
1107,Cause it's just too much sugar in everything It's too much sugar in
1108,everything You can't eat a
1109,In everything You can't get away from that
1110,eat a piece of bread
1111,Yeah you tripping
1112,W <exhale>
1113,You can't get away from that even if you try especially when they switch over
1114,a
1115,Whole foods That's how you get away from it
1116,? switch
1117,Whole Foods man The them prices is up
1118,through there
1119,Not not um like the grocery store I'm talking about like whole foods like
1120,Okay
1121,you know vegetables
1122,Oh whole food
1123,um fruit
1124,Okay
1125,um
1126,you know s fish
1127,Eating at Whole Foods will get you all through that
1128,Yeah more cooked meals
1129,<>
1130,with healthy options
1131,that'll clean your body out and then all of that stuff goes away anyway
1132,Okay okay
1133,You know
1134,Like I think humans are descendants
1135,of plants
1136,There's something
1137,Oh whispered
1138,else It's the second species
1139,that came
1140,that is not
1141,like
1142,w like we the ones in the
1143,You would think we would be f
1144,we would be rocking with plants a lot more We could we coulda made pl
1145,this a be a great home for plants
1146,We are plants
1147,We are not
1148,animals
1149,Plants and trees
1150,We can't be animals Check this out
1151,When
1152,when you see
1153,a lion eat a buffalo
1154,that lion has the power in its jaws
1155,and its claws
1156,to break the buffalo's neck
1157,to bite
1158,through that tough ass hide
1159,and
1160,eat
1161,that shit raw
1162,Okay
1163,Right the l way it is through fur and everything They don't spit it out
1164,They eating bugs and lice and whatever else and then they get to the gut
1165,and devour the bowels They have blood all over they face Ain't nothing cooked
1166,I ain't even think about all of that
1167,And they'll eat that
1168,Yeah
1169,You can't do that
1170,You go try and go bite a dog's skin off and see how far it gets you F m more or less a cow
1171,or a buffalo You can't even penetrate that
1172,without a knife
1173,Oh my god
1174,Your canines is underdeveloped You not supposed to eat meat And then if i y it was about you eating meat what they say?
1175,If a man eats meat all the time you just killing yourself
1176,If you made out of flesh
1177,They say that?
1178,Oh my gosh
1179,Oh yeah
1180,I mean that just makes sense You can't eat meat all the time and think you gonna stay healthy
1181,<>
1182,Meat is so
1183,Just eat nothing but meat
1184,no vegetables none of that
1185,Yeah
1186,Like some people e live like that that but they be real
1187,Oh man whispered
1188,unhealthy Trust me They
1189,might be thick
1190,and may look
1191,you know husky and big boned or what you know quote unquote big boned
1192,Them niggas be unhealthy
1193,What
1194,what if they don't look like that and they eating like that?
1195,I mean
1196,<>
1197,it's possible
1198,too
1199,But
1200,Huh?
1201,regardless
1202,Uh
1203,Hello?
1204,??
0,Can you tell me your name?
1,Uh breathy
2,the
3,I was named
4,by the government 
5,Okay
6,Um but I've renamed myself
7,as my stage name
8,Uh
9,the rebirth
10,the resurrection
11,Okay that's cool
12,So um
13, I like that
14,Um
15,Thanks man
16,obviously
17,you're a male
18,Um
